K,K_Level
142,L
339.35,VH
514.29,VH
496.98,VH
609.52,VH
576.73,VH
273.57,H
316.11,VH
521.02,VH
369.02,VH
364.64,VH
610.03,VH
578.41,VH
242.89,MH
225.64,MH
365.12,VH
512.4,VH
600.38,VH
469.67,VH
390.47,VH
312.3,VH
277.24,H
599.43,VH
370.99,VH
192.42,M
197.12,M
141.84,L
522.32,VH
310.07,VH
184.17,M
255.11,H
233.91,MH
414.27,VH
297.87,H
192.53,M
464.06,VH
549.66,VH
421.67,VH
295.5,H
494.75,VH
570.99,VH
287.89,H
539.54,VH
514.77,VH
578.83,VH
310.11,VH
274.61,H
158.21,M
354.05,VH
163.33,M
172.52,M
206.31,MH
237.38,MH
219.75,MH
331.53,VH
500.56,VH
287.65,H
436,VH
331.73,VH
453.32,VH
591.14,VH
446.34,VH
347.83,VH
308.59,VH
295.35,H
424.59,VH
587.2,VH
399.15,VH
145.68,L
474.49,VH
462.92,VH
526.04,VH
177.74,M
233.9,MH
440.34,VH
120.54,L
66.02,VL
151.53,M
268.42,H
332.11,VH
144.47,L
67.72,VL
80.34,VL
75.88,VL
510.11,VH
89.43,VL
227.95,MH
214.55,MH
107.89,L
153.39,M
471.25,VH
129.3,L
230.04,MH
94.21,VL
275.56,H
292.29,H
230.25,MH
83.05,VL
176.64,M
127.89,L
265.11,H
394.42,VH
346.69,VH
522.31,VH
69.55,VL
461.15,VH
100.73,FALSE
103.22,L
78.78,VL
23.8,VL
295.86,H
282.73,H
235.15,MH
249.55,MH
311.07,VH
154.43,M
501.1,VH
416.71,VH
77.3,VL
239.01,MH
61.47,VL
155.12,M
82.4,VL
218.81,MH
184.83,M
161.28,M
378.53,VH
442.08,VH
523.12,VH
157.5,M
93.65,VL
146.47,L
255.21,H
245.56,MH
213.1,MH
93.38,VL
58.8,VL
351.61,VH
153.87,M
581.11,VH
590.2,VH
63.6,VL
144.19,L
301.25,VH
283.02,H
382.75,VH
241.43,MH
262.76,H
209.43,MH
177.91,M
367.65,VH
53.28,VL
29.37,VL
161.01,M
82.25,VL
71.56,VL
122.97,L
504.23,VH
512.38,VH
228.58,MH
114.11,L
246.5,MH
164.7,M
467.71,VH
59.45,VL
159.98,M
72.47,VL
173.4,M
488.36,VH
353.75,VH
295.45,H
231.49,MH
44.92,VL
161.75,M
71.47,VL
187.07,M
202.02,MH
156.91,M
45.39,VL
170.49,M
249.28,MH
341.18,VH
541.1,VH
301.41,VH
104.89,L
130.06,L
424.41,VH
424.41,VH
512.21,VH
64.04,VL
71.09,VL
74.15,VL
73.84,VL
76.54,VL
61.19,VL
63.16,VL
69.33,VL
73.34,VL
82.77,VL
62.63,VL
62.84,VL
56.16,VL
62.65,VL
62.19,VL
60.12,VL
62.64,VL
62.18,VL
59.58,VL
63.77,VL
65.04,VL
58.87,VL
57.6,VL
62.75,VL
59.04,VL
60.73,VL
63.17,VL
77.97,VL
69.81,VL
71.63,VL
69.4,VL
60.78,VL
60.48,VL
83.75,VL
71.5,VL
69.94,VL
60.6,VL
61.69,VL
70.01,VL
65.04,VL
57.03,VL
53.88,VL
52.43,VL
55.37,VL
54.9,VL
57.05,VL
58.41,VL
48.32,VL
54.28,VL
55.35,VL
59.59,VL
59.83,VL
60.77,VL
61.19,VL
55.37,VL
67.8,VL
66.25,VL
64.16,VL
67.52,VL
70.77,VL
76.85,VL
67.43,VL
57.39,VL
50.57,VL
54.15,VL
56.66,VL
54.53,VL
51.4,VL
49,VL
53.07,VL
49.55,VL
54.88,VL
53.92,VL
51.83,VL
186.9,M
183.04,M
59.62,VL
178.08,M
186.83,M
186.67,M
166.44,M
54.14,VL
52.87,VL
183.24,M
183.14,M
171.71,M
55.61,VL
62.32,VL
65.52,VL
58.7,VL
58.98,VL
193.09,M
183.78,M
209.46,MH
55.12,VL
53.88,VL
54.29,VL
222.06,MH
216.28,MH
200.05,M
112.51,L
212.91,MH
204.29,MH
193.58,M
202.64,MH
203.9,MH
216.61,MH
54.74,VL
215.08,MH
230.46,MH
241.94,MH
209.86,MH
235.35,MH
224.92,MH
208.95,MH
210.4,MH
188.16,M
197.68,M
177.58,M
193.76,M
198.4,M
207.09,MH
185,M
182.11,M
182,M
137.06,L
112.45,L
47.51,VL
59,VL
47.7,VL
57.16,VL
48.25,VL
58.85,VL
34.57,VL
58.84,VL
59.94,VL
52.63,VL
42.57,VL
45.41,VL
49.43,VL
46.5,VL
42.2,VL
46.51,VL
49.7,VL
51.79,VL
43.91,VL
54.28,VL
50.33,VL
51.83,VL
49.67,VL
56.73,VL
53.14,VL
55.09,VL
52.34,VL
54.42,VL
53.48,VL
59.77,VL
66.15,VL
55.47,VL
60.58,VL
62.21,VL
75.82,VL
63.26,VL
59.1,VL
59.6,VL
61.79,VL
51.98,VL
67.54,VL
53.23,VL
60.35,VL
56.48,VL
60.9,VL
52.55,VL
65.8,VL
58.61,VL
64.77,VL
66.07,VL
64.36,VL
61.12,VL
60.98,VL
55.66,VL
53.37,VL
94.57,VL
91.8,VL
90.78,VL
100.7,FALSE
97.01,VL
87.21,VL
47.74,VL
59.39,VL
57.44,VL
97.05,VL
113.18,L
500.11,VH
90.73,VL
98.01,VL
94.73,VL
79.44,VL
341.05,VH
438.22,VH
340.18,VH
310.42,VH
352.39,VH
325.26,VH
348.52,VH
404.92,VH
330.59,VH
265.11,H
309.05,VH
356.62,VH
255.18,H
280.04,H
355.49,VH
374.5,VH
330.91,VH
292.11,H
357.79,VH
346,VH
332.77,VH
289.7,H
326.73,VH
321.94,VH
324.06,VH
318.62,VH
284.11,H
398.26,VH
286.95,H
401.09,VH
304.74,VH
348.72,VH
451.13,VH
401.67,VH
353.99,VH
350.56,VH
439.11,VH
402.45,VH
296.37,H
438.52,VH
362.65,VH
382.39,VH
357.95,VH
295.12,H
295.11,H
361.99,VH
274.73,H
295.34,H
390.46,VH
310.88,VH
292.9,H
320.21,VH
289.6,H
278.22,H
316.12,VH
317.74,VH
309.05,VH
594.76,VH
289.71,H
304.25,VH
292.16,H
294.11,H
335.68,VH
362.15,VH
346.71,VH
274.29,H
455.37,VH
283.57,H
292.16,H
379.06,VH
302.84,VH
268.79,H
229.29,MH
382.64,VH
384.99,VH
386.17,VH
425.9,VH
360.28,VH
341.74,VH
251.34,H
294.2,H
372.69,VH
249.55,MH
280.68,H
263.51,H
309.06,VH
388.63,VH
289.18,H
278.06,H
323.41,VH
373.28,VH
318.07,VH
428.46,VH
399.93,VH
417.39,VH
418.67,VH
354.3,VH
343.42,VH
382.56,VH
420.54,VH
223.95,MH
364.09,VH
366.43,VH
369.39,VH
286.04,H
265.36,H
227.69,MH
206.78,MH
405.68,VH
510.22,VH
397.58,VH
345.02,VH
271.38,H
312.71,VH
201.07,MH
420.4,VH
186.72,M
251.11,H
344.94,VH
351.48,VH
364.19,VH
444.22,VH
470.92,VH
326.76,VH
405.21,VH
349.87,VH
275.11,H
292.01,H
465.67,VH
381.59,VH
460.6,VH
475.81,VH
442.88,VH
440.31,VH
434.57,VH
221.45,MH
270.99,H
310.55,VH
235.66,MH
244.03,MH
205.8,MH
230.76,MH
449.67,VH
302.46,VH
310.87,VH
236.08,MH
430.18,VH
224.73,MH
376.2,VH
337.42,VH
328.52,VH
356.19,VH
361.26,VH
