N,N_Level
226.05,L
308.25,M
277.42,M
236.32,L
226.05,L
287.7,M
226.05,L
205.5,L
267.15,M
308.25,M
256.77,M
205.05,L
267.15,M
267.15,M
205.05,L
308.25,M
287.7,M
236.05,L
256.87,M
236.32,L
236.32,L
339.07,M
226.32,L
236.32,L
226.32,L
205.5,L
267.15,M
226.32,L
308.25,M
226.32,L
205.5,L
205.5,L
287.7,M
267.15,M
226.32,L
205.5,L
215.77,L
236.32,L
226.32,L
267.15,M
267.32,M
184.95,L
246.6,M
246.6,M
226.32,L
226.32,L
308.25,M
205.5,L
226.32,L
226.32,L
205.5,L
226.6,L
246.6,M
143.85,L
287.7,M
256.77,M
246.6,M
205.5,L
205.5,L
164.4,L
246.6,M
226.32,L
297.975,M
277.42,M
226.05,L
205.5,L
246.6,M
246.6,M
246.6,M
246.6,M
308.25,M
287.7,M
195.225,L
205.5,L
287.7,M
182.448,L
202.72,L
192.584,L
162.176,L
233.128,L
233.128,L
253.4,M
222.992,L
253.4,M
141.904,L
192.584,L
152.04,L
202.72,L
202.72,L
192.584,L
192.584,L
212.856,L
192.584,L
192.584,L
162.176,L
202.72,L
182.448,L
192.584,L
202.72,L
212.856,L
212.856,L
202.72,L
202.72,L
202.72,L
202.72,L
222.992,L
172.312,L
202.72,L
172.312,L
162.176,L
172.312,L
172.312,L
192.584,L
141.904,L
192.584,L
202.72,L
212.856,L
152.04,L
162.176,L
182.448,L
182.448,L
192.584,L
202.72,L
202.72,L
152.04,L
152.04,L
162.176,L
192.584,L
152.04,L
212.856,L
192.584,L
192.584,L
202.72,L
202.72,L
202.72,L
212.856,L
202.72,L
233.128,L
202.72,L
202.72,L
222.992,L
202.72,L
243.264,M
202.72,L
172.312,L
192.584,L
192.584,L
182.448,L
162.176,L
202.72,L
192.584,L
243.264,M
172.312,L
253.4,M
182.448,L
172.312,L
182.448,L
192.584,L
202.72,L
162.176,L
233.128,L
202.72,L
233.128,L
233.128,L
182.448,L
202.72,L
192.584,L
202.72,L
202.72,L
202.72,L
182.448,L
212.856,L
182.448,L
233.128,L
172.312,L
182.448,L
212.8,L
223.44,L
180.88,L
223.44,L
180.88,L
159.6,L
202.16,L
191.52,L
212.8,L
191.52,L
170.24,L
170.24,L
244.72,M
212.8,L
191.52,L
180.88,L
244.72,M
202.16,L
212.8,L
191.52,L
212.8,L
212.8,L
212.8,L
212.8,L
159.6,L
170.24,L
212.8,L
212.8,L
180.88,L
191.52,L
234.08,L
266,M
202.16,L
212.8,L
223.44,L
255.36,M
191.52,L
234.08,L
212.8,L
234.08,L
148.96,L
202.16,L
180.88,L
212.8,L
244.72,M
170.24,L
191.52,L
212.8,L
234.08,L
223.44,L
212.8,L
191.52,L
212.8,L
234.08,L
170.24,L
170.24,L
191.52,L
212.8,L
191.52,L
180.88,L
212.8,L
170.24,L
180.88,L
180.88,L
191.52,L
180.88,L
180.88,L
180.88,L
202.16,L
191.52,L
191.52,L
212.8,L
212.8,L
202.16,L
212.8,L
202.16,L
212.8,L
212.8,L
212.8,L
106.4,L
255.36,M
159.6,L
159.6,L
170.24,L
180.88,L
212.8,L
180.88,L
297.92,M
308.56,M
223.44,L
319.2,M
297.92,M
319.2,M
319.2,M
159.6,L
191.52,L
266,M
319.2,M
319.2,M
191.52,L
159.6,L
170.24,L
159.6,L
191.52,L
287.28,M
319.2,M
266,M
191.52,L
191.52,L
212.8,L
266,M
244.72,M
287.28,M
223.44,L
276.64,M
297.92,M
308.56,M
297.92,M
319.2,M
329.84,M
191.52,L
287.28,M
223.44,L
297.92,M
266,M
372.4,M
297.92,M
319.2,M
266,M
276.64,M
297.92,M
266,M
223.44,L
319.2,M
319.2,M
340.48,M
319.2,M
329.84,M
223.44,L
266,M
159.6,L
202.16,L
180.88,L
180.88,L
234.08,L
191.52,L
180.88,L
191.52,L
202.16,L
234.08,L
212.8,L
159.6,L
297.92,M
212.8,L
159.6,L
159.6,L
180.88,L
212.8,L
191.52,L
159.6,L
212.8,L
170.24,L
212.8,L
202.16,L
212.8,L
191.52,L
244.72,M
223.44,L
212.8,L
191.52,L
212.8,L
159.6,L
212.8,L
212.8,L
159.6,L
234.08,L
212.8,L
223.44,L
266,M
212.8,L
255.36,M
212.8,L
212.8,L
212.8,L
234.08,L
212.8,L
191.52,L
191.52,L
255.36,M
212.8,L
191.52,L
212.8,L
212.8,L
255.36,M
266,M
191.52,L
319.2,M
276.64,M
297.92,M
276.64,M
297.92,M
297.92,M
266,M
276.64,M
297.92,M
287.28,M
212.8,L
234.08,L
297.92,M
319.2,M
180.88,L
234.08,L
180.88,L
170.24,L
138.32,L
212.8,L
159.6,L
170.24,L
148.96,L
170.24,L
234.08,L
191.52,L
191.52,L
191.52,L
180.88,L
191.52,L
159.6,L
202.16,L
180.88,L
212.8,L
191.52,L
180.88,L
159.6,L
180.88,L
138.32,L
180.88,L
138.32,L
159.6,L
180.88,L
159.6,L
117.04,L
138.32,L
170.24,L
180.88,L
191.52,L
170.24,L
180.88,L
159.6,L
159.6,L
170.24,L
191.52,L
148.96,L
159.6,L
159.6,L
159.6,L
170.24,L
177.82,L
167.36,L
188.28,L
198.74,L
167.36,L
209.2,L
188.28,L
167.36,L
156.9,L
177.82,L
156.9,L
209.2,L
156.9,L
125.52,L
156.9,L
146.44,L
167.36,L
146.44,L
177.82,L
188.28,L
167.36,L
188.28,L
188.28,L
198.74,L
188.28,L
177.82,L
156.9,L
135.98,L
125.52,L
115.06,L
177.82,L
146.44,L
167.36,L
125.52,L
146.44,L
167.36,L
198.74,L
177.82,L
167.36,L
167.36,L
209.2,L
146.44,L
177.82,L
156.9,L
146.44,L
125.52,L
188.28,L
209.2,L
146.44,L
167.36,L
156.9,L
167.36,L
188.28,L
188.28,L
167.36,L
209.2,L
188.28,L
167.36,L
167.36,L
125.52,L
125.52,L
125.52,L
156.9,L
167.36,L
188.28,L
177.82,L
167.36,L
167.36,L
156.9,L
156.9,L
167.36,L
156.9,L
177.82,L
156.9,L
177.82,L
167.36,L
146.44,L
188.28,L
485.5,H
156.9,L
167.36,L
135.98,L
156.9,L
156.9,L
135.98,L
167.36,L
188.28,L
177.82,L
156.9,L
167.36,L
167.36,L
156.9,L
177.82,L
167.36,L
209.2,L
177.82,L
209.2,L
188.28,L
167.36,L
198.74,L
209.2,L
219.66,L
188.28,L
209.2,L
146.44,L
115.06,L
209.2,L
209.2,L
156.9,L
209.2,L
188.28,L
230.12,L
104.6,L
156.9,L
188.28,L
209.2,L
188.28,L
198.74,L
177.82,L
209.2,L
198.74,L
