Ca,Mg,K,S,N,Lime,C,P,Moisture
9.653,6.585,142,108,226.05,5.83,1.29,18,0.9
19.88,22.2,339.35,77,308.25,6.45,2,298,0.8
2.931,41.22,514.29,108,277.42,6.43,0.74,48,0.6
2.653,23.32,496.98,42,236.32,7.3,0.54,46,0.7
3.819,38.73,609.52,18,226.05,6.76,0.78,42,0.5
2.653,34,576.73,8,287.7,6.25,1.74,31,0.8
7.403,17.85,273.57,100,226.05,6.22,0.88,38,0.7
6.736,17.41,316.11,108,205.5,6.16,0.8,36,0.9
10.51,11.66,521.02,12,267.15,6.71,1.15,64,0.7
2.403,28.39,369.02,138,308.25,6.08,0.53,23,0.5
1.569,28.34,364.64,132,256.77,6.13,0.53,21,0.7
4.375,34.78,610.03,75,205.05,6.83,1.34,108,0.9
5.153,35.76,578.41,68,267.15,6.66,1.06,72,0.5
5.931,5.61,242.89,9,267.15,6.24,0.73,58,0.5
5.792,3.415,225.64,6,205.05,6.12,1.23,28,0.5
7.958,18.34,365.12,92,308.25,6.11,1.14,40,0.7
44.99,31.17,512.4,52,287.7,6.35,1.09,91,0.5
6.375,42.54,600.38,52,236.05,6.31,1.58,53,0.8
24.76,9.902,469.67,104,256.87,4.85,0.88,235,0.8
5.542,25.61,390.47,106,236.32,4.73,0.77,38,0.9
2.069,28.49,312.3,156,236.32,5.45,0.54,49,0.8
2.125,35.02,277.24,167,339.07,5.39,1.28,27,0.8
12.21,27.37,599.43,145,226.32,4.3,0.5,222,0.7
4.681,26.05,370.99,115,236.32,6.46,0.7,99,0.7
8.625,12.49,192.42,42,226.32,5.96,0.65,61,0.8
6.042,3.61,197.12,90,205.5,5.16,0.66,51,0.8
9.014,5.415,141.84,116,267.15,5,0.96,67,0.6
3.958,39.61,522.32,115,226.32,5.58,0.66,30,0.6
1.764,17.61,310.07,137,308.25,4.91,0.39,24,0.5
10.93,9.463,184.17,140,226.32,4.71,0.97,31,0.9
13.29,8,255.11,115,205.5,5.66,1.15,62,0.8
4.181,35.37,233.91,119,205.5,6.03,0.6,23,0.9
26.76,9.415,414.27,119,287.7,5.15,0.76,258,0.8
8.708,20.39,297.87,111,267.15,5.16,0.77,89,0.8
8.903,29.8,192.53,120,226.32,5.02,1,40,0.5
3.208,36.1,464.06,116,205.5,4.89,0.37,24,0.6
3.569,14.73,549.66,122,215.77,6.89,0.59,91,0.6
2.458,24.83,421.67,107,236.32,5.61,1.71,30,0.5
